,id,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
232,329981776,2.99,18332,1007,4.5,5,3.4,4+,Games,37,5,2,1,,
234,330376830,50169856,USD,0,53620,2872,4,5,9.5.1,12+,Health & Fitness,38,0,15,1
235,330803072,101181440,USD,0.99,38533,36,2.5,3.5,4.5.4,4+,Photo & Video,37,4,11,1
236,331004675,15329280,USD,0.99,40,0,3.5,0,1.8.9,4+,Food & Drink,37,4,7,1
237,331177703,31845376,USD,1.99,472,0,4,0,2.4,4+,Games,37,5,1,1
238,331177714,135032832,USD,0,303856,7027,4.5,4.5,4.3.5,4+,Food & Drink,37,0,2,1
239,331259725,54648832,USD,0,2070,0,2.5,0,6.2.0,4+,Sports,37,0,1,1
240,331271904,8432232,USD,2.99,7941,76,4,3.5,1.2.1,4+,Games,47,0,1,1
241,331308914,230720512,USD,0,136833,64,3.5,4.5,5.9.0,12+,Health & Fitness,37,5,6,1
242,331786748,80211968,USD,0,112886,298,3.5,1.5,5.3,12+,News,37,1,1,1
243,331804452,148201472,USD,0,26353,3,3.5,2.5,5.1.3,4+,Shopping,37,5,2,1
245,332568551,20795392,USD,0,171055,31,3,3.5,5,12+,Entertainment,38,1,1,1
246,333180061,27934720,USD,2.99,4540,140,4,4.5,2.31,9+,Games,43,5,15,1
247,333206289,208309248,USD,0,1926,2,3,3,10.0.15,4+,Lifestyle,38,5,3,1
248,333246187,33812480,USD,3.99,14345,100,4,2.5,4,12+,News,37,0,1,1
249,333263435,20298752,USD,4.99,1340,288,4.5,5,1.7.3,4+,Lifestyle,38,0,1,1
250,333710667,101346304,USD,3.99,31912,154,4.5,5,7.1.3,4+,Business,37,5,9,1
251,333903271,210569216,USD,0,354058,452,3.5,4,6.79.1,17+,News,37,2,33,1
252,334235181,110198784,USD,0,248,0,4,0,22,4+,Travel,37,4,1,1
253,334256223,78047232,USD,0,11691,44,3.5,4.5,3.5.1,12+,News,37,5,1,1
254,334264405,9946112,USD,1.99,381,6,3,2,iOV 2.1.3,12+,Entertainment,38,0,1,1
255,334503000,44652544,USD,0,18884,451,4,4.5,1.62,9+,Entertainment,37,0,1,1
257,334989259,30369792,USD,2.99,7410,82,4,4.5,1.7.3,9+,Reference,37,5,1,1
258,335029050,376171520,USD,1.99,15175,308,4,4,4.6.2,4+,Games,38,0,6,1
259,335047649,96815104,USD,0.99,3166,34,4,4.5,6.08,4+,Business,37,5,5,1
261,335364882,169138176,USD,0,88885,333,4.5,4,6.5,12+,Shopping,37,5,1,1
262,335545504,364490752,USD,9.99,882,85,5,5,2.3.2,12+,Games,43,5,1,1
263,335709058,44135424,USD,3.99,1729,599,4,4.5,7,17+,Lifestyle,37,5,3,1
264,335744614,112074752,USD,0,43682,19,3.5,2.5,2013.4.3,4+,Sports,37,5,1,1
265,335862325,98942976,USD,0.99,861,70,2,2.5,4.2,4+,Entertainment,40,4,1,1
266,335875911,77686784,USD,0,7469,68,3.5,5,5.10.3,12+,Health & Fitness,37,0,2,1
267,335989871,94496768,USD,0,4186,6,3.5,4.5,17,4+,Shopping,37,0,1,1
268,336141475,204959744,USD,0,4885,0,3.5,0,6.7.0,12+,Entertainment,38,0,2,1
269,336347946,32796672,USD,4.99,3970,509,4,4,2.7,17+,Games,40,3,5,1
270,336353151,105009152,USD,0,135744,594,4,4.5,5.6.0,4+,Music,37,4,7,1
271,336435697,22562816,USD,0,18841,0,4,0,7.0.84,4+,Social Networking,38,2,29,1
272,336477530,52632576,USD,3.99,1438,171,4,4,9.4.1,4+,Navigation,37,3,10,1
274,336599882,151388160,USD,0,10298,7,4.5,3.5,7.3,4+,Health & Fitness,37,0,15,1
275,336683524,47323136,USD,0.99,1842,23,3.5,2.5,1.17.11,4+,Productivity,38,1,1,1
276,336689375,59846656,USD,1.99,2548,5,4,4,4.2.2,4+,Education,37,5,1,1
277,336834650,27807744,USD,0.99,319,12,3,5,2.8.0,12+,Games,38,5,5,1
278,336860594,60976128,USD,0,34507,38,3.5,5,5.2.1,12+,Shopping,37,0,1,1
279,337021781,194386944,USD,0.99,26482,331,3.5,2.5,1.4.04,4+,Games,37,0,6,1
281,337056601,49470464,USD,0,273,0,3,0,5.25,12+,News,37,5,1,1
282,337288863,147118080,USD,2.99,8331,24,4,3.5,11.0.2,12+,Music,37,3,15,1
283,337402021,125411328,USD,0.99,17023,916,4,4.5,2.2,4+,Games,40,0,1,1
284,337462979,63316992,USD,4.99,1101,8,4,4,7,4+,Games,38,5,1,1
285,337571576,15313920,USD,0.99,1193,1,4,2,3.5.3,17+,Games,40,5,1,1
286,337710261,69816320,USD,0,35,0,2.5,0,12.8.0,17+,Sports,37,3,1,1
287,337866370,32848910,USD,1.99,4088,436,4,4.5,1.5.0,4+,Games,47,4,1,1
288,338057689,52821364,USD,4.99,63943,31264,4,4,1.5.0,17+,Games,47,0,1,1
289,338137227,146507776,USD,0,70286,51,3,4,17.8,4+,Shopping,37,0,1,1
290,338761996,24747008,USD,0,1150,0,2.5,0,5.5,4+,Business,37,5,19,1
291,338828953,89517056,USD,0,54630,280,2.5,4.5,12,4+,Shopping,37,4,1,1
292,339440515,40722432,USD,0,98777,233,3,4,5.01,4+,Entertainment,37,2,12,1
293,339462921,73332736,USD,0.99,649,11,4,4,3.5.1,4+,Photo & Video,37,5,1,1
294,339532909,83906560,USD,0,60236,58,3,4.5,5.24,12+,Entertainment,37,0,1,1
295,340368403,76644352,USD,0,115,0,3.5,0,17.5.1.0,4+,Food & Drink,37,5,1,1
296,340769953,37340259,USD,0.99,26732,1428,4,4.5,1.9.3,17+,Games,43,0,1,1
297,340779800,26137600,USD,1.99,2722,1,4.5,5,2.1,4+,Shopping,37,0,1,1
298,341036067,107816960,USD,0,11013,76,3.5,5,5.11.0,4+,Shopping,37,0,1,1
299,341232718,152700928,USD,0,507706,181,4.5,4.5,7.16,4+,Health & Fitness,37,5,19,1
300,341329033,112024576,USD,0,397,0,4.5,0,4.10.1,4+,Travel,37,0,16,1
301,341691394,35864576,USD,9.99,196,3,4,5,4.0.1,4+,Productivity,38,5,2,1
302,341776037,49594368,USD,3.99,24553,2620,4,4.5,39.1,9+,News,38,5,26,1
303,342115564,114081792,USD,2.99,12557,6,3.5,5,337,4+,Photo & Video,37,5,15,1
304,342138881,91267072,USD,0,26227,7,4,4.5,6.0.3,9+,Music,37,4,14,1
305,342548956,8821760,USD,4.99,28388,7009,5,5,2.8.2,4+,Business,38,5,9,1
307,342602105,69513216,USD,2.99,282,1,4,5,3.38,4+,Health & Fitness,38,4,1,1
308,342699962,7767040,USD,0.99,19296,7,4,4,1.24.1,4+,Games,37,3,1,1
309,342792525,88702976,USD,0,183425,4724,4.5,5,7.11,12+,Entertainment,37,5,10,1
310,343200656,175966208,USD,0,824451,107,4.5,3,7.4.0,4+,Games,38,0,10,1
311,343555245,84791296,USD,0,512,6,3.5,5,17.04.00,4+,Travel,38,0,2,1
312,343638336,27997184,USD,2.99,315,0,3.5,0,5.1,4+,Lifestyle,37,0,31,1
313,343889987,131463168,USD,0,268,0,3.5,0,38,4+,Travel,37,5,6,1
314,344065205,5415000,USD,1.99,438,295,4.5,4.5,2.1,4+,Games,45,0,1,1
316,344176018,126867456,USD,0,187,0,3.5,0,9.5,4+,Navigation,37,5,3,1
317,344186162,878883840,USD,4.99,15142,73,4,4,4.4,17+,Games,38,5,6,1
318,344542975,88773632,USD,0,30552,18,3,2.5,4.5.1,4+,Travel,37,0,1,1
319,345445479,812758016,USD,2.99,9744,42,3.5,3,1.2.21,12+,Games,37,4,6,1
320,345542655,28616704,USD,0,13482,2517,4.5,4.5,3.98,4+,Education,38,5,8,1
321,346184215,7111680,USD,0,17516,125,3.5,5,7.2,4+,Finance,37,5,1,1
322,346453382,34056767,USD,0,186653,226,3.5,3.5,2.2.9,4+,Games,43,0,1,1
323,346513173,21450752,USD,0.99,10031,142,4,5,4.1,4+,Entertainment,43,0,1,1
324,346997126,97879040,USD,0,81,0,3,0,5.2,4+,Entertainment,37,5,1,1
325,347310316,22299021,USD,0.99,9854,823,4,4,1.19,4+,Games,47,0,1,1
326,347393479,10231808,USD,2.99,1093,106,4,4.5,1.9.0,9+,Travel,38,0,1,1
327,347400507,132480000,USD,2.99,4475,95,4.5,4.5,5.3.2,4+,Health & Fitness,37,5,2,1
